gid	pagina	volgnr	standplaats	ol	nb	x	y	rang	latlon_bonne	crd_bonne
2	365	4	Aardenburg	3.44800780000000007	51.27349166666666666667	-100169	-24213	1	01010000206E6C0400C2D20A1D85950B40EB0762C601A34940	01010000206C6C0400000000009074F8C00000000040A5D7C0
3	370	119	Borkum	6.6713383555555561	53.58863055555555555555	118323	233822	1	01010000206E6C04006DA5665273AF1A40CAC4FC3E58CB4A40	01010000206C6C04000000000030E3FC4000000000F08A0C41
4	370	130	Breda	4.77514391111111181	51.58948055555555555555	-7534	9960	1	01010000206E6C0400BAA94F53BF19134098DE4D1974CB4940	01010000206C6C040000000000006EBDC0000000000074C340
5	370	135	Brielle	4.16242446666666677	51.90310000000000000000	-49641	45087	1	01010000206E6C0400479D719952A610404182E2C798F34940	01010000206C6C040000000000203DE8C000000000E003E640
6	371	155	Coevorden	6.74046891111111179	52.66112500000000000000	125573	130768	1	01010000206E6C040032B5737B3DF61A40B4C876BE9F544A40	01010000206C6C04000000000050A8FE400000000000EDFF40
7	372	183	Dokkum (Kerktoren)	5.99812724444444445	53.32757500000000000000	74217	203890	1	01010000206E6C0400B88A801115FE17405DFE43FAEDA94A40	01010000206C6C040000000000901EF2400000000090E30841
8	372	190	Dordrecht	4.66022724444444503	51.81466388888888888889	-15419	35028	1	01010000206E6C0400B9445B9C12A41240460104E846E84940	01010000206C6C040000000000801DCEC000000000801AE140
9	372	192	Dragten	6.10151613333333387	53.10698888888888888889	81521	179462	1	01010000206E6C04006CBB62D8F36718401568D9CFB18D4A40	01010000206C6C04000000000010E7F3400000000030E80541
10	374	233	Emden (Stadhuistoren)	7.20758557777777753	53.36758611111111111111	154612	210234	1	01010000206E6C040013B54E5091D41C40D0D7CA0F0DAF4A40	01010000206C6C040000000000A0DF024100000000D0A90941
11	374	239	Enkhuizen	5.29300780000000071	52.70431666666666666667	27647	134058	1	01010000206E6C040042E4993C0A2C154037AE6C0C275A4A40	01010000206C6C040000000000C0FFDA4000000000505D0041
12	374	244	Erkelenz	6.31588557777777826	51.08029722222222222223	100317	-45704	1	01010000206E6C0400A355478277431940B9B3EB2D478A4940	01010000206C6C040000000000D07DF840000000000051E6C0
13	375	267	Geldern	6.32153835555555599	51.51814444444444444445	99759	2998	1	01010000206E6C04004015C659414919401ABFA18E52C24940	01010000206C6C040000000000F05AF84000000000006CA740
14	376	278	Gieten	6.76466335555555531	53.00614166666666666667	126205	169184	1	01010000206E6C0400353E22E9030F1B40F6BC0840C9804A40	01010000206C6C040000000000D0CFFE400000000000A70441
15	376	287	Gorimchem	4.973010577777778	51.82998611111111111111	6143	36712	1	01010000206E6C0400DADE88E25CE41340A0AD21FC3CEA4940	01010000206C6C04000000000000FFB7400000000000EDE140
16	376	290	Gouda	4.71093835555555618	52.01119444444444444444	-11871	56882	1	01010000206E6C040025556A3900D812409464CED16E014A40	01010000206C6C040000000000802FC7C00000000040C6EB40
17	376	296	Grave	5.74054946666666677	51.76052222222222222222	59131	29327	1	01010000206E6C0400479D719952F61640B029CCCA58E14940	01010000206C6C04000000000060DFEC4000000000C0A3DC40
19	377	303	Groenlo	6.61852446666666694	52.04283888888888888889	118975	61803	1	01010000206E6C0400CF6F507A5E791A402B63A5BE7B054A40	01010000206C6C040000000000F00BFD4000000000602DEE40
20	377	306	Groningen (Toren van de St. Maartenskerk)	6.56892446666666707	53.22006388888888888889	112513	192661	1	01010000206E6C04000DE9A82294461A4078E7B20D2B9C4A40	01010000206C6C0400000000001078FB4000000000A8840741
21	377	318	Haarlem	4.6375022444444447	52.38158611111111111111	-16772	98103	1	01010000206E6C0400D70F6C63CD8C12403FEA4DD0D7304A40	01010000206C6C0400000000000061D0C00000000070F3F740
22	378	329	Harderijk	5.61697724444444457	52.34953888888888888889	49940	94759	1	01010000206E6C04006E0FFDE1C87716409E3AB8B0BD2C4A40	01010000206C6C0400000000008062E840000000007022F740
26	379	364	Helmond	5.65660502222222217	51.47894166666666666667	53668	-2059	1	01010000206E6C0400CD5523115DA016403583E5F54DBD4940	01010000206C6C0400000000008034EA40000000000016A0C0
27	379	371	Herenthals	4.83612724444444453	51.17493611111111111111	-3339	-36157	1	01010000206E6C0400DFBB88BD315813404A0E764E64964940	01010000206C6C0400000000000016AAC000000000A0A7E1C0
