gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
104940	17	181	17-181	1894	Aachen-Stadtwald (D.)	Aussichtsthurm. Fahnenstange	0101000020806C040052B81E85A3D30841EC51B81E8D9E1241	01010000204071000052B81E85A3D30841EC51B81E8D9E1241	*	 	 	0101000020D4100000BCBCF22CBC4A184007F61F90FD5D4940	0101000020E6100000CD46041D2F4A184001773F9CE25D4940
104941	17	732	17-732	1909	Aagtekerke	H. K. Stang	0101000020806C04003D0AD7A34039D8403D0AD7A3A63A1841	0101000020407100003D0AD7A34039D8403D0AD7A3A63A1841	 	 	 	0101000020D41000000E1F43C80D150C40F1EA40CA14C64940	0101000020E61000008BA93D2DB7140C404FB6B0E6F6C54940
104942	17	733	17-733	1906	Aalburg	H. K. Stang	0101000020806C040048E17A148ACC0041D7A3703D46861941	01010000204071000048E17A148ACC0041D7A3703D46861941	 	 	 	0101000020D4100000860C8A43208B144021C1A30866E04940	0101000020E6100000E177A062B78A14401E0AF23547E04940
104943	17	78	17-78	1900	Aalsmeer	H. K. Stang	0101000020806C0400BA490C02B527FB40931804D6CA0D1D41	010100002040710000BA490C02B527FB40931804D6CA0D1D41	*	 	 	0101000020D4100000AE633DD628FC1240E6766EABBE224A40	0101000020E6100000EC14A8A1CFFB12409203AFE19D224A40
104944	17	734	17-734	1906	Aalst (Gld.)	H. K. Stang	0101000020806C04000AD7A37015B800415C8FC2F57EBA1941	0101000020407100000AD7A37015B800415C8FC2F57EBA1941	 	 	 	0101000020D41000002F7B314B3D8114406E116FD73DE44940	0101000020E6100000D36BC1D1D4801440F25062E71EE44940
104945	17	735	17-735	1903	Aalst (N. Br.)	R. C. K. Stang	0101000020806C04001F85EB513CA8034114AE47E1501B1741	0101000020407100001F85EB513CA8034114AE47E1501B1741	 	!	 	0101000020D4100000CBA5C69EB3E51540EEB18FD8D8B24940	0101000020E6100000992A7E7F3DE51540F02C115FBBB24940
104946	17	79	17-79	1895	Aalten I	H. K. Stang onder kruis	0101000020806C0400B0726891C4F10C41355EBAC9CCBF1A41	010100002040710000B0726891C4F10C41355EBAC9CCBF1A41	*	 	 	0101000020D410000079A9779E94531A40AA8F13CDBEF64940	0101000020E61000001F1A4F7AF4521A40431917459FF64940
104947	17	736	17-736	1901	Aalten II	R. C. K. Stang boven knop	0101000020806C04001F85EB51CEF20C411F85EB51EEBB1A41	0101000020407100001F85EB51CEF20C411F85EB51EEBB1A41	 	 	 	0101000020D41000009FC14BB403541A40F969FBB675F64940	0101000020E6100000A42B048C63531A402C10303156F64940
104948	17	737	17-737	1901	Aalten III	G. K. Stang boven knop	0101000020806C040000000000E0E70C413D0AD7A309C01A41	01010000204071000000000000E0E70C413D0AD7A309C01A41	 	 	 	0101000020D4100000EF2CD41DDF4E1A40012B80CFC4F64940	0101000020E6100000D1D3D4263F4E1A40E6955447A5F64940
104949	17	1	17-1	1896	Aardenburg I	H. K. Stang boven knop	0101000020806C0400F6285C8F3239D340508D97EE15611641	010100002040710000F6285C8F3239D340508D97EE15611641	*	 	 	0101000020D410000025D61D14BA950B40C034C04611A34940	0101000020E6100000A209AACC66950B401C41A371F4A24940
